order_id,return_flag,return_reason
146668,Yes,Late Delivery
173854,Yes,Damaged
20487,Yes,Wrong Item
231,Yes,Customer Changed Mind
155067,Yes,Customer Changed Mind
103333,Yes,Customer Changed Mind
180992,Yes,Wrong Item
138134,Yes,Wrong Item
165603,Yes,Damaged
113045,Yes,Late Delivery
167932,Yes,Customer Changed Mind
180852,Yes,Damaged
129775,Yes,Wrong Item
75406,Yes,Damaged
91644,Yes,Late Delivery
60596,Yes,Customer Changed Mind
157759,Yes,Damaged
41297,Yes,Wrong Item
118423,Yes,Wrong Item
45959,Yes,Late Delivery
80462,Yes,Wrong Item
99632,Yes,Late Delivery
26940,Yes,Customer Changed Mind
98550,Yes,Late Delivery
59628,Yes,Damaged
48934,Yes,Damaged
52410,Yes,Wrong Item
134296,Yes,Damaged
100027,Yes,Customer Changed Mind
189126,Yes,Wrong Item
17955,Yes,Wrong Item
111191,Yes,Customer Changed Mind
168823,Yes,Late Delivery
68268,Yes,Damaged
88189,Yes,Damaged
101238,Yes,Damaged
143177,Yes,Wrong Item
136825,Yes,Wrong Item
85825,Yes,Customer Changed Mind
104473,Yes,Damaged
98958,Yes,Wrong Item
22975,Yes,Damaged
4790,Yes,Late Delivery
77279,Yes,Wrong Item
194805,Yes,Customer Changed Mind
7567,Yes,Customer Changed Mind
6649,Yes,Late Delivery
189127,Yes,Late Delivery
152758,Yes,Damaged
102964,Yes,Customer Changed Mind
112438,Yes,Customer Changed Mind
80088,Yes,Wrong Item
147268,Yes,Customer Changed Mind
140574,Yes,Customer Changed Mind
123498,Yes,Late Delivery
125834,Yes,Customer Changed Mind
64864,Yes,Wrong Item
12732,Yes,Wrong Item
153805,Yes,Customer Changed Mind
94784,Yes,Wrong Item
91414,Yes,Wrong Item
81183,Yes,Late Delivery
14977,Yes,Customer Changed Mind
116382,Yes,Customer Changed Mind
83775,Yes,Wrong Item
42901,Yes,Damaged
172412,Yes,Late Delivery
720,Yes,Damaged
9382,Yes,Damaged
174429,Yes,Late Delivery
162565,Yes,Damaged
118933,Yes,Wrong Item
177960,Yes,Late Delivery
86564,Yes,Customer Changed Mind
146454,Yes,Wrong Item
190745,Yes,Wrong Item
30994,Yes,Customer Changed Mind
103876,Yes,Customer Changed Mind
44716,Yes,Customer Changed Mind
81408,Yes,Wrong Item
60439,Yes,Late Delivery
59769,Yes,Late Delivery
124081,Yes,Late Delivery
61402,Yes,Wrong Item
62259,Yes,Customer Changed Mind
136115,Yes,Wrong Item
109709,Yes,Wrong Item
192112,Yes,Wrong Item
123135,Yes,Damaged
187984,Yes,Damaged
37366,Yes,Damaged
152708,Yes,Wrong Item
121848,Yes,Damaged
141058,Yes,Wrong Item
64761,Yes,Customer Changed Mind
136811,Yes,Late Delivery
129731,Yes,Late Delivery
82086,Yes,Late Delivery
3853,Yes,Late Delivery
157806,Yes,Late Delivery
91682,Yes,Wrong Item
57715,Yes,Customer Changed Mind
126134,Yes,Customer Changed Mind
138322,Yes,Wrong Item
134900,Yes,Customer Changed Mind
58387,Yes,Damaged
183610,Yes,Customer Changed Mind
106438,Yes,Customer Changed Mind
110572,Yes,Late Delivery
8436,Yes,Customer Changed Mind
105920,Yes,Customer Changed Mind
100317,Yes,Customer Changed Mind
182685,Yes,Late Delivery
94071,Yes,Wrong Item
117905,Yes,Wrong Item
60117,Yes,Late Delivery
139168,Yes,Damaged
110589,Yes,Customer Changed Mind
94097,Yes,Customer Changed Mind
113609,Yes,Wrong Item
62991,Yes,Damaged
134746,Yes,Damaged
157709,Yes,Late Delivery
173135,Yes,Late Delivery
195608,Yes,Customer Changed Mind
120723,Yes,Wrong Item
123231,Yes,Customer Changed Mind
74048,Yes,Wrong Item
72015,Yes,Customer Changed Mind
101847,Yes,Customer Changed Mind
125455,Yes,Wrong Item
31693,Yes,Wrong Item
61816,Yes,Damaged
124332,Yes,Late Delivery
37502,Yes,Late Delivery
176732,Yes,Customer Changed Mind
193815,Yes,Customer Changed Mind
124871,Yes,Customer Changed Mind
173258,Yes,Damaged
22203,Yes,Damaged
83751,Yes,Customer Changed Mind
75523,Yes,Late Delivery
169946,Yes,Late Delivery
23577,Yes,Wrong Item
33770,Yes,Damaged
8724,Yes,Customer Changed Mind
145414,Yes,Wrong Item
99696,Yes,Customer Changed Mind
170920,Yes,Customer Changed Mind
189747,Yes,Wrong Item
77126,Yes,Damaged
15417,Yes,Wrong Item
72251,Yes,Damaged
98027,Yes,Late Delivery
128604,Yes,Late Delivery
103406,Yes,Customer Changed Mind
155625,Yes,Late Delivery
82583,Yes,Late Delivery
30252,Yes,Customer Changed Mind
157423,Yes,Wrong Item
31288,Yes,Damaged
76624,Yes,Customer Changed Mind
94899,Yes,Damaged
154186,Yes,Damaged
67923,Yes,Wrong Item
33361,Yes,Wrong Item
5045,Yes,Late Delivery
28755,Yes,Damaged
186228,Yes,Damaged
64000,Yes,Late Delivery
153277,Yes,Wrong Item
138685,Yes,Wrong Item
49393,Yes,Damaged
8988,Yes,Wrong Item
164333,Yes,Late Delivery
127661,Yes,Wrong Item
94829,Yes,Damaged
58070,Yes,Wrong Item
51803,Yes,Customer Changed Mind
104921,Yes,Damaged
68669,Yes,Customer Changed Mind
53974,Yes,Customer Changed Mind
154490,Yes,Wrong Item
54767,Yes,Late Delivery
62953,Yes,Wrong Item
164855,Yes,Customer Changed Mind
81209,Yes,Damaged
83084,Yes,Customer Changed Mind
141739,Yes,Damaged
62492,Yes,Customer Changed Mind
28366,Yes,Late Delivery
332,Yes,Damaged
108821,Yes,Wrong Item
122543,Yes,Wrong Item
191537,Yes,Customer Changed Mind
32920,Yes,Customer Changed Mind
74024,Yes,Customer Changed Mind
143053,Yes,Customer Changed Mind
156743,Yes,Customer Changed Mind
47542,Yes,Customer Changed Mind
176384,Yes,Late Delivery
91807,Yes,Damaged
56210,Yes,Damaged
142476,Yes,Wrong Item
107325,Yes,Late Delivery
99556,Yes,Customer Changed Mind
160445,Yes,Late Delivery
118376,Yes,Customer Changed Mind
155489,Yes,Late Delivery
59168,Yes,Customer Changed Mind
194916,Yes,Late Delivery
11244,Yes,Customer Changed Mind
51301,Yes,Wrong Item
2377,Yes,Wrong Item
57774,Yes,Late Delivery
25989,Yes,Late Delivery
186600,Yes,Customer Changed Mind
160932,Yes,Customer Changed Mind
18248,Yes,Damaged
82713,Yes,Damaged
191396,Yes,Damaged
149653,Yes,Wrong Item
124393,Yes,Damaged
129055,Yes,Damaged
129738,Yes,Wrong Item
50359,Yes,Damaged
13173,Yes,Damaged
36869,Yes,Late Delivery
22054,Yes,Late Delivery
101477,Yes,Customer Changed Mind
109177,Yes,Customer Changed Mind
194119,Yes,Late Delivery
78596,Yes,Damaged
53501,Yes,Late Delivery
132481,Yes,Wrong Item
727,Yes,Late Delivery
9648,Yes,Late Delivery
23089,Yes,Customer Changed Mind
53523,Yes,Wrong Item
148100,Yes,Wrong Item
12158,Yes,Damaged
47294,Yes,Customer Changed Mind
59265,Yes,Damaged
189980,Yes,Customer Changed Mind
188439,Yes,Customer Changed Mind
58361,Yes,Late Delivery
168536,Yes,Wrong Item
131720,Yes,Damaged
172911,Yes,Customer Changed Mind
156975,Yes,Late Delivery
50266,Yes,Damaged
172689,Yes,Damaged
193530,Yes,Damaged
86637,Yes,Damaged
100840,Yes,Wrong Item
131397,Yes,Wrong Item
32602,Yes,Late Delivery
157418,Yes,Wrong Item
69343,Yes,Damaged
2849,Yes,Customer Changed Mind
147456,Yes,Customer Changed Mind
100540,Yes,Damaged
155647,Yes,Late Delivery
113363,Yes,Late Delivery
154268,Yes,Customer Changed Mind
2400,Yes,Damaged
194896,Yes,Damaged
83814,Yes,Wrong Item
139783,Yes,Wrong Item
198507,Yes,Customer Changed Mind
45234,Yes,Customer Changed Mind
140860,Yes,Damaged
193897,Yes,Late Delivery
170142,Yes,Wrong Item
184895,Yes,Customer Changed Mind
92935,Yes,Damaged
60225,Yes,Late Delivery
12081,Yes,Late Delivery
113200,Yes,Damaged
110664,Yes,Wrong Item
143446,Yes,Wrong Item
7555,Yes,Wrong Item
167085,Yes,Late Delivery
193769,Yes,Customer Changed Mind
154408,Yes,Late Delivery
53730,Yes,Wrong Item
75054,Yes,Customer Changed Mind
100754,Yes,Late Delivery
1574,Yes,Wrong Item
167056,Yes,Late Delivery
27104,Yes,Wrong Item
15570,Yes,Wrong Item
185848,Yes,Late Delivery
81976,Yes,Late Delivery
90358,Yes,Damaged
92540,Yes,Wrong Item
179781,Yes,Customer Changed Mind
96791,Yes,Customer Changed Mind
72563,Yes,Customer Changed Mind
170207,Yes,Damaged
77968,Yes,Customer Changed Mind
130789,Yes,Damaged
191283,Yes,Damaged
98475,Yes,Wrong Item
39969,Yes,Wrong Item
174383,Yes,Late Delivery
95373,Yes,Late Delivery
140281,Yes,Late Delivery
158820,Yes,Late Delivery
163485,Yes,Wrong Item
87720,Yes,Customer Changed Mind
12594,Yes,Late Delivery
94693,Yes,Customer Changed Mind
101841,Yes,Damaged
93024,Yes,Damaged
32033,Yes,Customer Changed Mind
19065,Yes,Wrong Item
60938,Yes,Wrong Item
156357,Yes,Damaged
835,Yes,Customer Changed Mind
198921,Yes,Late Delivery
60303,Yes,Wrong Item
115570,Yes,Customer Changed Mind
139658,Yes,Late Delivery
20020,Yes,Late Delivery
73180,Yes,Damaged
75,Yes,Late Delivery
1086,Yes,Late Delivery
62145,Yes,Damaged
67301,Yes,Customer Changed Mind
46415,Yes,Damaged
197241,Yes,Damaged
116829,Yes,Damaged
172170,Yes,Wrong Item
88015,Yes,Wrong Item
10196,Yes,Damaged
17278,Yes,Late Delivery
46855,Yes,Damaged
42253,Yes,Late Delivery
7853,Yes,Wrong Item
11005,Yes,Customer Changed Mind
45274,Yes,Wrong Item
194979,Yes,Damaged
66908,Yes,Wrong Item
176355,Yes,Wrong Item
49186,Yes,Late Delivery
168771,Yes,Customer Changed Mind
164118,Yes,Late Delivery
8983,Yes,Damaged
43967,Yes,Late Delivery
59861,Yes,Late Delivery
172738,Yes,Damaged
95638,Yes,Damaged
191331,Yes,Damaged
113085,Yes,Late Delivery
186742,Yes,Customer Changed Mind
118096,Yes,Late Delivery
27406,Yes,Damaged
57435,Yes,Damaged
37810,Yes,Customer Changed Mind
30193,Yes,Damaged
116045,Yes,Damaged
35866,Yes,Late Delivery
51902,Yes,Customer Changed Mind
189656,Yes,Wrong Item
62356,Yes,Damaged
106321,Yes,Customer Changed Mind
35146,Yes,Wrong Item
29288,Yes,Late Delivery
144104,Yes,Wrong Item
194324,Yes,Late Delivery
92558,Yes,Damaged
125037,Yes,Customer Changed Mind
199046,Yes,Late Delivery
1566,Yes,Customer Changed Mind
51487,Yes,Customer Changed Mind
8636,Yes,Customer Changed Mind
179531,Yes,Late Delivery
45543,Yes,Wrong Item
124445,Yes,Damaged
126515,Yes,Late Delivery
168663,Yes,Wrong Item
167891,Yes,Wrong Item
196551,Yes,Late Delivery
141629,Yes,Customer Changed Mind
77354,Yes,Damaged
87035,Yes,Customer Changed Mind
74543,Yes,Customer Changed Mind
2381,Yes,Late Delivery
179928,Yes,Late Delivery
83555,Yes,Customer Changed Mind
135166,Yes,Wrong Item
38720,Yes,Late Delivery
135722,Yes,Wrong Item
52440,Yes,Customer Changed Mind
134311,Yes,Customer Changed Mind
75718,Yes,Wrong Item
31142,Yes,Damaged
130261,Yes,Late Delivery
161682,Yes,Late Delivery
75041,Yes,Customer Changed Mind
3131,Yes,Customer Changed Mind
44391,Yes,Damaged
38716,Yes,Late Delivery
156847,Yes,Late Delivery
176164,Yes,Customer Changed Mind
193791,Yes,Customer Changed Mind
65239,Yes,Customer Changed Mind
24558,Yes,Customer Changed Mind
30839,Yes,Wrong Item
72128,Yes,Wrong Item
58894,Yes,Damaged
154689,Yes,Late Delivery
195869,Yes,Wrong Item
111405,Yes,Wrong Item
17963,Yes,Customer Changed Mind
140607,Yes,Wrong Item
50078,Yes,Damaged
151904,Yes,Customer Changed Mind
106017,Yes,Damaged
188026,Yes,Late Delivery
22297,Yes,Customer Changed Mind
165873,Yes,Customer Changed Mind
21314,Yes,Wrong Item
48401,Yes,Late Delivery
63079,Yes,Wrong Item
24598,Yes,Customer Changed Mind
156477,Yes,Damaged
191273,Yes,Wrong Item
173743,Yes,Customer Changed Mind
98437,Yes,Customer Changed Mind
34650,Yes,Wrong Item
86895,Yes,Damaged
195536,Yes,Wrong Item
106482,Yes,Late Delivery
197214,Yes,Customer Changed Mind
88606,Yes,Late Delivery
84895,Yes,Late Delivery
35561,Yes,Damaged
117093,Yes,Customer Changed Mind
33641,Yes,Wrong Item
128710,Yes,Wrong Item
83141,Yes,Damaged
2059,Yes,Damaged
98414,Yes,Late Delivery
54404,Yes,Damaged
76312,Yes,Damaged
26497,Yes,Customer Changed Mind
126632,Yes,Damaged
111288,Yes,Wrong Item
55966,Yes,Customer Changed Mind
31700,Yes,Customer Changed Mind
176767,Yes,Late Delivery
55151,Yes,Late Delivery
148006,Yes,Late Delivery
198862,Yes,Customer Changed Mind
475,Yes,Customer Changed Mind
179559,Yes,Customer Changed Mind
99658,Yes,Customer Changed Mind
190862,Yes,Wrong Item
182683,Yes,Damaged
178081,Yes,Late Delivery
127325,Yes,Customer Changed Mind
161278,Yes,Wrong Item
198595,Yes,Wrong Item
62870,Yes,Late Delivery
198916,Yes,Wrong Item
98644,Yes,Late Delivery
63273,Yes,Customer Changed Mind
170051,Yes,Wrong Item
33703,Yes,Late Delivery
141331,Yes,Late Delivery
176356,Yes,Late Delivery
26503,Yes,Damaged
92681,Yes,Customer Changed Mind
158859,Yes,Customer Changed Mind
135996,Yes,Damaged
162957,Yes,Customer Changed Mind
61103,Yes,Customer Changed Mind
151235,Yes,Late Delivery
161458,Yes,Wrong Item
88752,Yes,Wrong Item
38839,Yes,Customer Changed Mind
192535,Yes,Customer Changed Mind
78354,Yes,Customer Changed Mind
179454,Yes,Wrong Item
184810,Yes,Wrong Item
27745,Yes,Damaged
19555,Yes,Wrong Item
20324,Yes,Customer Changed Mind
47735,Yes,Wrong Item
20314,Yes,Wrong Item
198350,Yes,Wrong Item
194206,Yes,Customer Changed Mind
182811,Yes,Customer Changed Mind
72513,Yes,Wrong Item
68747,Yes,Customer Changed Mind
150980,Yes,Late Delivery
126734,Yes,Late Delivery
24212,Yes,Customer Changed Mind
86254,Yes,Damaged
15123,Yes,Customer Changed Mind
80769,Yes,Customer Changed Mind
123920,Yes,Customer Changed Mind
56393,Yes,Wrong Item
25379,Yes,Damaged
53352,Yes,Damaged
61919,Yes,Late Delivery
194424,Yes,Late Delivery
149657,Yes,Damaged
135025,Yes,Damaged
89161,Yes,Late Delivery
66467,Yes,Wrong Item
107331,Yes,Customer Changed Mind
13433,Yes,Customer Changed Mind
65732,Yes,Late Delivery
74132,Yes,Customer Changed Mind
116739,Yes,Damaged
144120,Yes,Wrong Item
185288,Yes,Damaged
32537,Yes,Damaged
184245,Yes,Wrong Item
132324,Yes,Late Delivery
40686,Yes,Customer Changed Mind
160258,Yes,Customer Changed Mind
159535,Yes,Late Delivery
84207,Yes,Customer Changed Mind
132387,Yes,Damaged
155749,Yes,Late Delivery
127103,Yes,Damaged
84613,Yes,Late Delivery
67950,Yes,Damaged
167457,Yes,Late Delivery
16780,Yes,Customer Changed Mind
63304,Yes,Damaged
124132,Yes,Wrong Item
179354,Yes,Late Delivery
64914,Yes,Customer Changed Mind
142484,Yes,Customer Changed Mind
106626,Yes,Damaged
67572,Yes,Late Delivery
193126,Yes,Wrong Item
135890,Yes,Damaged
144723,Yes,Late Delivery
21701,Yes,Damaged
24067,Yes,Customer Changed Mind
76829,Yes,Customer Changed Mind
109092,Yes,Wrong Item
18840,Yes,Late Delivery
93657,Yes,Late Delivery
198532,Yes,Customer Changed Mind
34288,Yes,Late Delivery
73967,Yes,Customer Changed Mind
118962,Yes,Damaged
41398,Yes,Wrong Item
105266,Yes,Wrong Item
194428,Yes,Wrong Item
168965,Yes,Damaged
180647,Yes,Customer Changed Mind
113667,Yes,Wrong Item
158730,Yes,Late Delivery
53659,Yes,Damaged
133135,Yes,Damaged
82532,Yes,Customer Changed Mind
180231,Yes,Wrong Item
18695,Yes,Customer Changed Mind
73441,Yes,Wrong Item
119267,Yes,Late Delivery
195134,Yes,Damaged
41812,Yes,Late Delivery
14308,Yes,Late Delivery
35578,Yes,Late Delivery
33110,Yes,Customer Changed Mind
146175,Yes,Late Delivery
59486,Yes,Damaged
20335,Yes,Damaged
16386,Yes,Late Delivery
50415,Yes,Late Delivery
159768,Yes,Customer Changed Mind
80010,Yes,Wrong Item
173089,Yes,Damaged
16665,Yes,Wrong Item
153728,Yes,Customer Changed Mind
91946,Yes,Wrong Item
140435,Yes,Late Delivery
68355,Yes,Wrong Item
8640,Yes,Late Delivery
40618,Yes,Late Delivery
190741,Yes,Damaged
185049,Yes,Customer Changed Mind
177729,Yes,Wrong Item
192940,Yes,Wrong Item
155107,Yes,Customer Changed Mind
154600,Yes,Late Delivery
29777,Yes,Damaged
134679,Yes,Customer Changed Mind
97331,Yes,Wrong Item
5999,Yes,Customer Changed Mind
88852,Yes,Customer Changed Mind
108727,Yes,Customer Changed Mind
57093,Yes,Late Delivery
73765,Yes,Customer Changed Mind
129877,Yes,Damaged
156444,Yes,Late Delivery
5799,Yes,Wrong Item
147565,Yes,Customer Changed Mind
55644,Yes,Damaged
75751,Yes,Late Delivery
52303,Yes,Wrong Item
3268,Yes,Wrong Item
95377,Yes,Late Delivery
69348,Yes,Wrong Item
84629,Yes,Customer Changed Mind
88510,Yes,Customer Changed Mind
107311,Yes,Damaged
147036,Yes,Wrong Item
176496,Yes,Damaged
157293,Yes,Late Delivery
83393,Yes,Late Delivery
118316,Yes,Customer Changed Mind
125236,Yes,Wrong Item
50251,Yes,Damaged
15489,Yes,Late Delivery
156351,Yes,Damaged
41172,Yes,Damaged
178955,Yes,Damaged
106936,Yes,Wrong Item
133241,Yes,Wrong Item
192390,Yes,Late Delivery
120165,Yes,Wrong Item
92768,Yes,Customer Changed Mind
107511,Yes,Wrong Item
83065,Yes,Customer Changed Mind
153652,Yes,Customer Changed Mind
128198,Yes,Late Delivery
137725,Yes,Damaged
153174,Yes,Damaged
43988,Yes,Customer Changed Mind
9961,Yes,Damaged
123549,Yes,Wrong Item
178931,Yes,Customer Changed Mind
151015,Yes,Customer Changed Mind
130504,Yes,Wrong Item
86304,Yes,Customer Changed Mind
176876,Yes,Customer Changed Mind
7017,Yes,Late Delivery
194806,Yes,Late Delivery
149735,Yes,Damaged
52930,Yes,Late Delivery
22844,Yes,Damaged
56504,Yes,Damaged
170776,Yes,Wrong Item
146519,Yes,Customer Changed Mind
191091,Yes,Damaged
42470,Yes,Customer Changed Mind
170247,Yes,Customer Changed Mind
963,Yes,Wrong Item
167665,Yes,Customer Changed Mind
44323,Yes,Customer Changed Mind
126957,Yes,Late Delivery
85539,Yes,Wrong Item
64489,Yes,Customer Changed Mind
140506,Yes,Customer Changed Mind
49924,Yes,Damaged
41048,Yes,Damaged
106856,Yes,Wrong Item
167119,Yes,Late Delivery
173981,Yes,Late Delivery
18471,Yes,Customer Changed Mind
169753,Yes,Damaged
80489,Yes,Customer Changed Mind
66875,Yes,Wrong Item
51466,Yes,Damaged
147473,Yes,Late Delivery
40599,Yes,Customer Changed Mind
16790,Yes,Late Delivery
38991,Yes,Wrong Item
40810,Yes,Late Delivery
78539,Yes,Damaged
29622,Yes,Wrong Item
5204,Yes,Late Delivery
122264,Yes,Customer Changed Mind
87772,Yes,Wrong Item
103841,Yes,Customer Changed Mind
31158,Yes,Wrong Item
43227,Yes,Wrong Item
137405,Yes,Wrong Item
129855,Yes,Customer Changed Mind
73052,Yes,Wrong Item
97758,Yes,Late Delivery
165402,Yes,Late Delivery
148016,Yes,Customer Changed Mind
177834,Yes,Damaged
79199,Yes,Damaged
20414,Yes,Damaged
181593,Yes,Damaged
158501,Yes,Wrong Item
130722,Yes,Wrong Item
139988,Yes,Late Delivery
80973,Yes,Late Delivery
158044,Yes,Customer Changed Mind
85638,Yes,Wrong Item
197179,Yes,Late Delivery
124037,Yes,Customer Changed Mind
55886,Yes,Customer Changed Mind
62836,Yes,Damaged
172764,Yes,Customer Changed Mind
150971,Yes,Customer Changed Mind
193283,Yes,Damaged
158204,Yes,Customer Changed Mind
177912,Yes,Wrong Item
20709,Yes,Damaged
162465,Yes,Wrong Item
77301,Yes,Late Delivery
171745,Yes,Late Delivery
158621,Yes,Damaged
175145,Yes,Customer Changed Mind
